File number 	Amplitude 		Frequency 		Phase 
1		0.343722332015		200.619110466		1.04906731874
2		0.76063722466		901.955829821		-2.37721919868
3		0.439149769437		715.126429999		1.53809794873
4		0.814773396823		619.411109794		-1.69273599472
5		0.551206495629		847.0127865		-0.160480448612
6		0.432903041758		935.805580892		2.09834409336
7		0.176244967811		115.034676717		0.574609217599
8		0.462798045005		276.679103452		-2.69104695204
9		0.712746266352		471.350841729		1.40283125752
10		0.650692517052		575.789531691		3.10538260088
