File number 	Amplitude 		Frequency 		Phase 
1		0.757059206511		936.46224165		2.63983730716
2		0.432018646112		236.361905894		2.91892110422
3		0.442054227206		278.466422486		-2.70970012937
4		0.888840864255		683.349720596		-2.59620265521
5		0.199104045049		762.042344063		-0.266186869469
6		0.716790996174		723.178864159		-2.86084957724
7		0.63049651156		610.596870523		2.41071174112
8		0.135712819714		264.955131874		0.0554956208401
9		0.554347359549		675.205829268		1.48753007528
10		0.496019039899		198.727640705		1.60566702926
