File number 	Amplitude 		Frequency 		Phase 
1		0.490292559239		130.118196721		-1.38372169325
2		0.355360172111		777.136461488		-0.505883543411
3		0.754400787884		574.786312627		-2.39428123726
4		0.639163872652		584.962498212		1.58243056928
5		0.133854115394		437.663548287		-1.33127157989
6		0.715180029218		756.440005666		-0.701665890694
7		0.495218067035		102.545053672		1.55165824905
8		0.412055771233		583.014987332		-0.35639205907
9		0.43184048906		647.280893719		-1.16897027586
10		0.836891116631		870.309874563		1.20959067231
